archive_id,original_review_id,source_stage,priority,reason,original_issue_summary,archive_decision,can_revisit_later
ARC0001,RV0001,stage4,P3,P3 默认归档，保守策略不进入保守草案,"同名类型无法唯一判定: ['industry_link', 'process']",auto_archive_rejected,true
ARC0002,RV0002,stage4,P3,P3 默认归档，保守策略不进入保守草案,"同名类型无法唯一判定: ['industry_link', 'process']",auto_archive_rejected,true
ARC0003,RV0003,stage4,P3,P3 默认归档，保守策略不进入保守草案,"同名类型无法唯一判定: ['industry_link', 'process']",auto_archive_rejected,true
ARC0004,RV0004,stage4,P3,P3 默认归档，保守策略不进入保守草案,仅出现在关系端点，无独立实体候选,auto_archive_rejected,true
ARC0005,RV0008,stage4,P3,P3 默认归档，保守策略不进入保守草案,候选被拒绝，需人工确认,auto_archive_rejected,true
ARC0006,RV0009,stage4,P3,P3 默认归档，保守策略不进入保守草案,候选被拒绝，需人工确认,auto_archive_rejected,true
ARC0007,RV0010,stage4,P3,P3 默认归档，保守策略不进入保守草案,候选被拒绝，需人工确认,auto_archive_rejected,true
ARC0008,RV0011,stage4,P3,P3 默认归档，保守策略不进入保守草案,候选被拒绝，需人工确认,auto_archive_rejected,true
ARC0009,RV0012,stage4,P3,P3 默认归档，保守策略不进入保守草案,候选被拒绝，需人工确认,auto_archive_rejected,true
ARC0010,RV0013,stage4,P3,P3 默认归档，保守策略不进入保守草案,候选被拒绝，需人工确认,auto_archive_rejected,true
ARC0011,RV0014,stage4,P3,P3 默认归档，保守策略不进入保守草案,候选被拒绝，需人工确认,auto_archive_rejected,true
ARC0012,RV0015,stage4,P3,P3 默认归档，保守策略不进入保守草案,候选被拒绝，需人工确认,auto_archive_rejected,true
ARC0013,RV0016,stage4,P3,P3 默认归档，保守策略不进入保守草案,候选被拒绝，需人工确认,auto_archive_rejected,true
ARC0014,RV0017,stage4,P3,P3 默认归档，保守策略不进入保守草案,候选被拒绝，需人工确认,auto_archive_rejected,true
ARC0015,RV0018,stage4,P3,P3 默认归档，保守策略不进入保守草案,候选被拒绝，需人工确认,auto_archive_rejected,true
ARC0016,RV0019,stage4,P3,P3 默认归档，保守策略不进入保守草案,候选被拒绝，需人工确认,auto_archive_rejected,true
