review_item_id,task_id,item_type,candidate_id,issue_type,severity,reason,evidence_id,page_no,recommended_action
t01_rv01,t01,relation,t01_r01,relation_endpoint_type_mismatch,medium,关系候选待复核: 产业链->INPUT_TO->产业链上下游,新型显示白皮书_7f4f945d7c21_p011_paragraph_003,11,人工核对原文与结论
t01_rv02,t01,relation,t01_r02,relation_cue_missing,medium,关系候选待复核: 新型显示产业->SUPPLIES_TO->产业链,新型显示白皮书_7f4f945d7c21_p033_paragraph_003,33,人工核对原文与结论
t01_rv03,t01,relation,t01_r04,relation_endpoint_type_mismatch,medium,关系候选待复核: 面板制造企业->USES_TECHNOLOGY->配套材料,新型显示白皮书_7f4f945d7c21_p016_paragraph_003,16,人工核对原文与结论
t01_rv04,t01,entity,t01_e05,quote_not_found,high,候选被拒绝，需人工确认,新型显示白皮书_7f4f945d7c21_p033_paragraph_003,33,人工核对 quote 与原文
t01_rv05,t01,relation,t01_r03,subject_or_object_not_found,high,候选被拒绝，需人工确认,新型显示白皮书_7f4f945d7c21_p033_paragraph_003,33,人工确认主宾语是否在原文
t01_rv06,t01,relation,t01_r05,subject_or_object_not_found,high,候选被拒绝，需人工确认,新型显示白皮书_7f4f945d7c21_p016_paragraph_002,16,人工确认主宾语是否在原文
t02_rv01,t02,relation,t02_r03,relation_cue_missing,medium,关系候选待复核: 显示材料产业->SUPPLIES_TO->产业集群,新型显示白皮书_7f4f945d7c21_p033_paragraph_003,33,人工核对原文与结论
t02_rv02,t02,entity,t02_e01,subject_or_object_not_found,high,候选被拒绝，需人工确认,新型显示白皮书_7f4f945d7c21_p030_heading_001,30,人工确认主宾语是否在原文
t02_rv03,t02,relation,t02_r01,subject_or_object_not_found,high,候选被拒绝，需人工确认,新型显示白皮书_7f4f945d7c21_p030_heading_001,30,人工确认主宾语是否在原文
t02_rv04,t02,relation,t02_r02,subject_or_object_not_found,high,候选被拒绝，需人工确认,新型显示白皮书_7f4f945d7c21_p033_paragraph_003,33,人工确认主宾语是否在原文
t03_rv01,t03,relation,t03_r01,relation_cue_missing,medium,关系候选待复核: 关键原材料->INPUT_TO->显示面板,新型显示白皮书_7f4f945d7c21_p018_paragraph_003,18,人工核对原文与结论
t03_rv02,t03,entity,t03_e09,subject_or_object_not_found,high,候选被拒绝，需人工确认,新型显示白皮书_7f4f945d7c21_p032_paragraph_004,32,人工确认主宾语是否在原文
t03_rv03,t03,entity,t03_e11,quote_not_found,high,候选被拒绝，需人工确认,新型显示白皮书_7f4f945d7c21_p032_paragraph_004,32,人工核对 quote 与原文
t03_rv04,t03,entity,t03_e12,quote_not_found,high,候选被拒绝，需人工确认,新型显示白皮书_7f4f945d7c21_p029_paragraph_004,29,人工核对 quote 与原文
t03_rv05,t03,relation,t03_r02,subject_or_object_not_found,high,候选被拒绝，需人工确认,新型显示白皮书_7f4f945d7c21_p032_paragraph_004,32,人工确认主宾语是否在原文
t03_rv06,t03,relation,t03_r03,subject_or_object_not_found,high,候选被拒绝，需人工确认,新型显示白皮书_7f4f945d7c21_p029_paragraph_004,29,人工确认主宾语是否在原文
t03_rv07,t03,relation,t03_r04,subject_or_object_not_found,high,候选被拒绝，需人工确认,新型显示白皮书_7f4f945d7c21_p032_paragraph_004,32,人工确认主宾语是否在原文
