tree_edge_id,parent_tree_node_id,child_tree_node_id,edge_type,sort_order,source_from,is_evidence_fact,evidence_ids,notes
RTE0001,T0001,T0002,DISPLAY_PARENT_OF,1,document_driven_rules,false,,关系子树根挂载到产业链总根
RTE0002,T0001,T0007,DISPLAY_PARENT_OF,2,document_driven_rules,false,,关系子树根挂载到产业链总根
RTE0003,T0001,T0010,DISPLAY_PARENT_OF,3,document_driven_rules,false,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_003;中国半导体白皮书_1b73a8b1f91b_p010_paragraph_012;中国半导体白皮书_1b73a8b1f91b_p022_paragraph_004;中国半导体白皮书_1b73a8b1f91b_p022_paragraph_007,行业专属展示分组挂载，非PDF父子关系事实
RTE0004,T0001,T0021,DISPLAY_PARENT_OF,4,document_driven_rules,false,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_005;中国半导体白皮书_1b73a8b1f91b_p010_paragraph_013,行业专属展示分组挂载，非PDF父子关系事实
RTE0005,T0001,T0029,DISPLAY_PARENT_OF,5,document_driven_rules,false,中国半导体白皮书_1b73a8b1f91b_p010_heading_001;中国半导体白皮书_1b73a8b1f91b_p010_paragraph_003;中国半导体白皮书_1b73a8b1f91b_p010_paragraph_009;中国半导体白皮书_1b73a8b1f91b_p010_paragraph_012,行业专属展示分组挂载，非PDF父子关系事实
RTE0006,T0001,T0036,DISPLAY_PARENT_OF,6,document_driven_rules,false,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_003;中国半导体白皮书_1b73a8b1f91b_p010_paragraph_006;中国半导体白皮书_1b73a8b1f91b_p023_paragraph_002,行业专属展示分组挂载，非PDF父子关系事实
RTE0007,T0001,T0041,DISPLAY_PARENT_OF,7,document_driven_rules,false,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_004;中国半导体白皮书_1b73a8b1f91b_p010_paragraph_013,行业专属展示分组挂载，非PDF父子关系事实
RTE0008,T0002,T0003,DISPLAY_PARENT_OF,1,approved_relation,true,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_013,由approved关系NR0002确定父子层级
RTE0009,T0002,T0004,DISPLAY_PARENT_OF,2,approved_relation,true,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_013,由approved关系NR0003确定父子层级
RTE0010,T0002,T0005,DISPLAY_PARENT_OF,3,approved_relation,true,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_013,由approved关系NR0001确定父子层级
RTE0011,T0002,T0006,DISPLAY_PARENT_OF,4,approved_relation,true,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_013,由approved关系NR0004确定父子层级
RTE0012,T0007,T0008,DISPLAY_PARENT_OF,1,approved_relation,true,中国半导体白皮书_1b73a8b1f91b_p022_paragraph_004,由approved关系NR0010确定父子层级
RTE0013,T0007,T0009,DISPLAY_PARENT_OF,2,approved_relation,true,中国半导体白皮书_1b73a8b1f91b_p022_paragraph_004,由approved关系NR0009确定父子层级
RTE0014,T0010,T0011,DISPLAY_PARENT_OF,1,document_driven_rules,false,中国半导体白皮书_1b73a8b1f91b_p022_paragraph_007,已批准实体按类型和证据语境进行展示归类，非PDF父子关系事实
RTE0015,T0010,T0012,DISPLAY_PARENT_OF,2,document_driven_rules,false,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_003,已批准实体按类型和证据语境进行展示归类，非PDF父子关系事实
RTE0016,T0010,T0013,DISPLAY_PARENT_OF,3,document_driven_rules,false,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_003,已批准实体按类型和证据语境进行展示归类，非PDF父子关系事实
RTE0017,T0010,T0014,DISPLAY_PARENT_OF,4,document_driven_rules,false,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_003,已批准实体按类型和证据语境进行展示归类，非PDF父子关系事实
RTE0018,T0010,T0015,DISPLAY_PARENT_OF,5,document_driven_rules,false,中国半导体白皮书_1b73a8b1f91b_p022_paragraph_004,已批准实体按类型和证据语境进行展示归类，非PDF父子关系事实
RTE0019,T0010,T0016,DISPLAY_PARENT_OF,6,document_driven_rules,false,中国半导体白皮书_1b73a8b1f91b_p022_paragraph_004,已批准实体按类型和证据语境进行展示归类，非PDF父子关系事实
RTE0020,T0010,T0017,DISPLAY_PARENT_OF,7,document_driven_rules,false,中国半导体白皮书_1b73a8b1f91b_p022_paragraph_004,已批准实体按类型和证据语境进行展示归类，非PDF父子关系事实
RTE0021,T0010,T0018,DISPLAY_PARENT_OF,8,document_driven_rules,false,中国半导体白皮书_1b73a8b1f91b_p022_paragraph_004,已批准实体按类型和证据语境进行展示归类，非PDF父子关系事实
RTE0022,T0010,T0020,DISPLAY_PARENT_OF,9,document_driven_rules,false,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_003,已批准实体按类型和证据语境进行展示归类，非PDF父子关系事实
RTE0023,T0011,T0019,DISPLAY_PARENT_OF,1,hierarchy_refinement,false,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_012,refined展示层级边，非PDF原文事实
RTE0024,T0021,T0022,DISPLAY_PARENT_OF,1,document_driven_rules,false,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_013,已批准实体按类型和证据语境进行展示归类，非PDF父子关系事实
RTE0025,T0021,T0023,DISPLAY_PARENT_OF,2,document_driven_rules,false,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_005,已批准实体按类型和证据语境进行展示归类，非PDF父子关系事实
RTE0026,T0021,T0024,DISPLAY_PARENT_OF,3,document_driven_rules,false,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_005,已批准实体按类型和证据语境进行展示归类，非PDF父子关系事实
RTE0027,T0021,T0025,DISPLAY_PARENT_OF,4,document_driven_rules,false,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_005,已批准实体按类型和证据语境进行展示归类，非PDF父子关系事实
RTE0028,T0021,T0026,DISPLAY_PARENT_OF,5,document_driven_rules,false,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_005,已批准实体按类型和证据语境进行展示归类，非PDF父子关系事实
RTE0029,T0021,T0027,DISPLAY_PARENT_OF,6,document_driven_rules,false,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_005,已批准实体按类型和证据语境进行展示归类，非PDF父子关系事实
RTE0030,T0021,T0028,DISPLAY_PARENT_OF,7,document_driven_rules,false,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_005,已批准实体按类型和证据语境进行展示归类，非PDF父子关系事实
RTE0031,T0029,T0030,DISPLAY_PARENT_OF,1,document_driven_rules,false,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_009,已批准实体按类型和证据语境进行展示归类，非PDF父子关系事实
RTE0032,T0029,T0032,DISPLAY_PARENT_OF,2,document_driven_rules,false,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_012,已批准实体按类型和证据语境进行展示归类，非PDF父子关系事实
RTE0033,T0029,T0033,DISPLAY_PARENT_OF,3,document_driven_rules,false,中国半导体白皮书_1b73a8b1f91b_p010_heading_001,已批准实体按类型和证据语境进行展示归类，非PDF父子关系事实
RTE0034,T0029,T0034,DISPLAY_PARENT_OF,4,document_driven_rules,false,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_003,已批准实体按类型和证据语境进行展示归类，非PDF父子关系事实
RTE0035,T0029,T0035,DISPLAY_PARENT_OF,5,document_driven_rules,false,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_012,已批准实体按类型和证据语境进行展示归类，非PDF父子关系事实
RTE0036,T0034,T0031,DISPLAY_PARENT_OF,1,hierarchy_refinement,false,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_009,refined展示层级边，非PDF原文事实
RTE0037,T0036,T0037,DISPLAY_PARENT_OF,1,document_driven_rules,false,中国半导体白皮书_1b73a8b1f91b_p023_paragraph_002,已批准实体按类型和证据语境进行展示归类，非PDF父子关系事实
RTE0038,T0036,T0039,DISPLAY_PARENT_OF,2,document_driven_rules,false,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_003,已批准实体按类型和证据语境进行展示归类，非PDF父子关系事实
RTE0039,T0036,T0040,DISPLAY_PARENT_OF,3,document_driven_rules,false,中国半导体白皮书_1b73a8b1f91b_p023_paragraph_002,已批准实体按类型和证据语境进行展示归类，非PDF父子关系事实
RTE0040,T0039,T0038,DISPLAY_PARENT_OF,1,hierarchy_refinement,false,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_006,refined展示层级边，非PDF原文事实
RTE0041,T0041,T0042,DISPLAY_PARENT_OF,1,document_driven_rules,false,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_004,已批准实体按类型和证据语境进行展示归类，非PDF父子关系事实
RTE0042,T0041,T0043,DISPLAY_PARENT_OF,2,document_driven_rules,false,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_004,已批准实体按类型和证据语境进行展示归类，非PDF父子关系事实
RTE0043,T0041,T0044,DISPLAY_PARENT_OF,3,document_driven_rules,false,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_013,已批准实体按类型和证据语境进行展示归类，非PDF父子关系事实
