review_item_id,task_id,item_type,candidate_id,issue_type,severity,reason,evidence_id,page_no,recommended_action
t01_rv01,t01,relation,t01_r01,relation_endpoint_type_mismatch,medium,关系候选待复核: 设计->INPUT_TO->代工,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_009,10,人工核对原文与结论
t01_rv02,t01,relation,t01_r02,relation_endpoint_type_mismatch,medium,关系候选待复核: 设计->INPUT_TO->封装,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_009,10,人工核对原文与结论
t01_rv03,t01,relation,t01_r03,relation_endpoint_type_mismatch,medium,关系候选待复核: 设计->INPUT_TO->测试,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_009,10,人工核对原文与结论
t01_rv04,t01,entity,t01_e10,evidence_id_not_in_context,high,候选被拒绝，需人工确认,中国半导体白皮书_1b73a8b1f91b_p008_paragraph_004,8,人工核对原文与结论
t01_rv05,t01,entity,t01_e11,evidence_id_not_in_context,high,候选被拒绝，需人工确认,中国半导体白皮书_1b73a8b1f91b_p008_paragraph_004,8,人工核对原文与结论
t01_rv06,t01,entity,t01_e12,evidence_id_not_in_context,high,候选被拒绝，需人工确认,中国半导体白皮书_1b73a8b1f91b_p008_paragraph_004,8,人工核对原文与结论
t01_rv07,t01,entity,t01_e13,evidence_id_not_in_context,high,候选被拒绝，需人工确认,中国半导体白皮书_1b73a8b1f91b_p008_paragraph_004,8,人工核对原文与结论
t01_rv08,t01,entity,t01_e14,evidence_id_not_in_context,high,候选被拒绝，需人工确认,中国半导体白皮书_1b73a8b1f91b_p008_paragraph_004,8,人工核对原文与结论
t01_rv09,t01,entity,t01_e15,evidence_id_not_in_context,high,候选被拒绝，需人工确认,中国半导体白皮书_1b73a8b1f91b_p008_paragraph_004,8,人工核对原文与结论
t01_rv10,t01,entity,t01_e16,evidence_id_not_in_context,high,候选被拒绝，需人工确认,中国半导体白皮书_1b73a8b1f91b_p008_paragraph_004,8,人工核对原文与结论
t01_rv11,t01,relation,t01_r04,relation_type_invalid,high,候选被拒绝，需人工确认,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_006,10,重新判定关系类型
