tree_node_id,label,display_label,parent_id,level,depth,sort_order,category,node_type,source_from,source_entity_ids,evidence_ids,is_display_node,is_schema_node,notes
T0001,半导体产业链,半导体产业链,,0,0,0,root,display_node,document_driven_rules,,,true,true,单一根节点
T0002,晶圆制造,晶圆制造,T0001,1,1,1,process,approved_entity,approved_entity,CE0038,,true,false,relation_connected_root_branch
T0006,计算芯片,计算芯片,T0001,1,1,2,unknown,approved_entity,approved_entity,CE0006,,true,false,relation_connected_root_branch
T0009,半导体产品与应用,半导体产品与应用,T0001,1,1,3,product_application_group,display_node,document_driven_rules,,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_003;中国半导体白皮书_1b73a8b1f91b_p010_paragraph_012;中国半导体白皮书_1b73a8b1f91b_p022_paragraph_004;中国半导体白皮书_1b73a8b1f91b_p022_paragraph_007,true,true,行业专属展示分组；由已批准实体类型和实体证据汇总生成，不代表PDF中的父子事实
T0020,半导体材料,半导体材料,T0001,1,1,4,material_group,display_node,document_driven_rules,,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_005;中国半导体白皮书_1b73a8b1f91b_p010_paragraph_013,true,true,行业专属展示分组；由已批准实体类型和实体证据汇总生成，不代表PDF中的父子事实
T0028,半导体核心环节,半导体核心环节,T0001,1,1,5,operations_group,display_node,document_driven_rules,,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_003;中国半导体白皮书_1b73a8b1f91b_p010_paragraph_009;中国半导体白皮书_1b73a8b1f91b_p010_paragraph_012;中国半导体白皮书_1b73a8b1f91b_p010_paragraph_013;中国半导体白皮书_1b73a8b1f91b_p016_paragraph_010,true,true,行业专属展示分组；由已批准实体类型和实体证据汇总生成，不代表PDF中的父子事实
T0035,半导体技术,半导体技术,T0001,1,1,6,technology_group,display_node,document_driven_rules,,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_003;中国半导体白皮书_1b73a8b1f91b_p010_paragraph_006;中国半导体白皮书_1b73a8b1f91b_p023_paragraph_002,true,true,行业专属展示分组；由已批准实体类型和实体证据汇总生成，不代表PDF中的父子事实
T0040,半导体设备,半导体设备,T0001,1,1,7,equipment_group,display_node,document_driven_rules,,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_004;中国半导体白皮书_1b73a8b1f91b_p010_paragraph_013,true,true,行业专属展示分组；由已批准实体类型和实体证据汇总生成，不代表PDF中的父子事实
T0003,光刻,光刻,T0002,2,2,1,process,approved_entity,approved_relation,CE0040,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_013,true,false,approved_relation:NR0002
T0004,沉积,沉积,T0002,2,2,2,process,approved_entity,approved_relation,CE0039,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_013,true,false,approved_relation:NR0001
T0005,离子注入,离子注入,T0002,2,2,3,process,approved_entity,approved_relation,CE0042,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_013,true,false,approved_relation:NR0003
T0007,ASIC,ASIC,T0006,2,2,1,unknown,approved_entity,approved_relation,CE0034,中国半导体白皮书_1b73a8b1f91b_p022_paragraph_004,true,false,approved_relation:NR0009
T0008,GPU,GPU,T0006,2,2,2,unknown,approved_entity,approved_relation,CE0033,中国半导体白皮书_1b73a8b1f91b_p022_paragraph_004,true,false,approved_relation:NR0008
