recheck_id,source_candidate_id,candidate_type,original_reject_reason,surface_form_or_relation,evidence_id,page_no,quote,possible_recovery_reason,recommended_action,review_required
RC0001,t04_e05,entity,quote_not_found,t04_e05,中国半导体白皮书_1b73a8b1f91b_p006_paragraph_003,6,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0002,t04_r03,relation,subject_or_object_not_found,t04_r03,中国半导体白皮书_1b73a8b1f91b_p016_paragraph_010,16,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0003,t04_r05,relation,subject_or_object_not_found,t04_r05,中国半导体白皮书_1b73a8b1f91b_p016_paragraph_010,16,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0004,t04_r06,relation,subject_or_object_not_found,t04_r06,中国半导体白皮书_1b73a8b1f91b_p023_paragraph_002,23,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0005,t04_r07,relation,subject_or_object_not_found,t04_r07,中国半导体白皮书_1b73a8b1f91b_p016_paragraph_010,16,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0006,t05_e03,entity,quote_not_found,t05_e03,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_012,10,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0007,t05_e04,entity,quote_not_found,t05_e04,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_012,10,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0008,t05_r01,relation,subject_or_object_not_found,t05_r01,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_012,10,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0009,t05_r02,relation,subject_or_object_not_found,t05_r02,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_012,10,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0010,t05_r03,relation,subject_or_object_not_found,t05_r03,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_012,10,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
