review_id,review_type,priority,subject,relation_type,object,entity_or_relation_id,evidence_pages,evidence_quotes,issue_summary,recommended_decision,human_decision,human_comment
RV0001,entity_review,P3,测试,,,CE0004,,,"同名类型无法唯一判定: ['industry_link', 'process']",确认实体类型与名称,,
RV0002,entity_review,P3,半导体生态,,,CE0041,,,仅出现在关系端点，无独立实体候选,确认实体类型与名称,,
RV0003,stage3c_carryover,P3,,non_atomic_relation_endpoint,,t01_r10,8,,关系候选待复核: SoC芯片->组成->涵盖CPU/GPU/ASIC、SoC芯片、存储芯片、模拟芯片,人工核对原文与结论,,
RV0004,stage3c_carryover,P3,,non_atomic_relation_endpoint,,t01_r11,8,,关系候选待复核: CPU/GPU/ASIC->组成->涵盖CPU/GPU/ASIC、SoC芯片、存储芯片、模拟芯片,人工核对原文与结论,,
RV0005,stage3c_carryover,P3,,non_atomic_relation_endpoint,,t01_r12,8,,关系候选待复核: 云计算->组成->涵盖CPU/GPU/ASIC、SoC芯片、存储芯片、模拟芯片,人工核对原文与结论,,
RV0006,stage3c_carryover,P3,,evidence_id_not_in_context,,t01_e10,8,,候选被拒绝，需人工确认,人工核对原文与结论,,
RV0007,stage3c_carryover,P3,,evidence_id_not_in_context,,t01_e11,8,,候选被拒绝，需人工确认,人工核对原文与结论,,
RV0008,stage3c_carryover,P3,,evidence_id_not_in_context,,t01_e12,8,,候选被拒绝，需人工确认,人工核对原文与结论,,
RV0009,stage3c_carryover,P3,,evidence_id_not_in_context,,t01_e13,8,,候选被拒绝，需人工确认,人工核对原文与结论,,
RV0010,stage3c_carryover,P3,,evidence_id_not_in_context,,t01_e14,8,,候选被拒绝，需人工确认,人工核对原文与结论,,
RV0011,stage3c_carryover,P3,,evidence_id_not_in_context,,t01_e15,8,,候选被拒绝，需人工确认,人工核对原文与结论,,
RV0012,stage3c_carryover,P3,,evidence_id_not_in_context,,t01_e16,8,,候选被拒绝，需人工确认,人工核对原文与结论,,
RV0013,stage3c_carryover,P3,,evidence_id_not_in_context,,t01_e17,8,,候选被拒绝，需人工确认,人工核对原文与结论,,
RV0014,stage3c_carryover,P3,,evidence_id_not_in_context,,t01_e18,8,,候选被拒绝，需人工确认,人工核对原文与结论,,
RV0015,stage3c_carryover,P3,,relation_type_invalid,,t01_r01,10,,候选被拒绝，需人工确认,重新判定关系类型,,
RV0016,stage3c_carryover,P3,,relation_type_invalid,,t01_r02,10,,候选被拒绝，需人工确认,重新判定关系类型,,
RV0017,stage3c_carryover,P3,,relation_type_invalid,,t01_r03,10,,候选被拒绝，需人工确认,重新判定关系类型,,
RV0018,stage3c_carryover,P3,,relation_type_invalid,,t01_r04,10,,候选被拒绝，需人工确认,重新判定关系类型,,
RV0019,stage3c_carryover,P3,,relation_type_invalid,,t01_r05,10,,候选被拒绝，需人工确认,重新判定关系类型,,
RV0020,stage3c_carryover,P3,,relation_type_invalid,,t01_r06,22,,候选被拒绝，需人工确认,重新判定关系类型,,
RV0021,stage3c_carryover,P3,,relation_type_invalid,,t01_r07,22,,候选被拒绝，需人工确认,重新判定关系类型,,
