recheck_id,source_candidate_id,candidate_type,original_reject_reason,surface_form_or_relation,evidence_id,page_no,quote,possible_recovery_reason,recommended_action,review_required
RC0001,t02_e02,entity,quote_not_found,全球半导体产业链概况,中国半导体白皮书_1b73a8b1f91b_p010_heading_001,10,1. 全球半导体产业链概况 > 1.3 半导体价值链：各大环节的分布情况及主要玩家,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0002,t02_e03,entity,quote_not_found,中国半导体近期投资观察,中国半导体白皮书_1b73a8b1f91b_p022_heading_006,22,4. 中国半导体近期投资观察 > 4.4 启示 > 4.4.1 面向投资者的启示,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0003,t04_e15,entity,quote_not_found,气体材料,中国半导体白皮书_1b73a8b1f91b_p016_paragraph_010,16,从芯片生产到器件封装，几乎每一个步骤都离不开气体材料。,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0004,t04_e16,entity,quote_not_found,硅片,中国半导体白皮书_1b73a8b1f91b_p016_paragraph_010,16,从芯片生产到器件封装，几乎每一个步骤都离不开气体材料。,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0005,t04_r02,relation,subject_or_object_not_found,设计 -> INPUT_TO -> 芯片,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_009,10,半导体生态逐步完善，主要包括设计、代工、封装和测试环节。,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0006,t04_r03,relation,subject_or_object_not_found,代工 -> INPUT_TO -> 芯片,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_009,10,半导体生态逐步完善，主要包括设计、代工、封装和测试环节。,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0007,t04_r04,relation,subject_or_object_not_found,封装 -> INPUT_TO -> 芯片,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_009,10,半导体生态逐步完善，主要包括设计、代工、封装和测试环节。,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0008,t04_r05,relation,subject_or_object_not_found,测试 -> INPUT_TO -> 芯片,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_009,10,半导体生态逐步完善，主要包括设计、代工、封装和测试环节。,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0009,t04_r06,relation,subject_or_object_not_found,硅片 -> INPUT_TO -> 芯片,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_005,10,前端材料包括硅片、金属以及各类化学品和气体。,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0010,t04_r07,relation,subject_or_object_not_found,金属 -> INPUT_TO -> 芯片,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_005,10,前端材料包括硅片、金属以及各类化学品和气体。,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
