review_id,review_type,priority,subject,relation_type,object,entity_or_relation_id,evidence_pages,evidence_quotes,issue_summary,recommended_decision,human_decision,human_comment
RV0001,entity_review,P3,封装,,,CE0003,,,"同名类型无法唯一判定: ['industry_link', 'process']",确认实体类型与名称,,
RV0002,entity_review,P3,测试,,,CE0004,,,"同名类型无法唯一判定: ['industry_link', 'process']",确认实体类型与名称,,
RV0003,entity_review,P3,封测,,,CE0024,,,"同名类型无法唯一判定: ['industry_link', 'process']",确认实体类型与名称,,
RV0004,entity_review,P3,半导体生态,,,CE0046,,,仅出现在关系端点，无独立实体候选,确认实体类型与名称,,
RV0005,stage3c_carryover,P1,,relation_endpoint_type_mismatch,,t01_r01,10,,关系候选待复核: 设计->INPUT_TO->代工,人工核对原文与结论,,
RV0006,stage3c_carryover,P1,,relation_endpoint_type_mismatch,,t01_r02,10,,关系候选待复核: 设计->INPUT_TO->封装,人工核对原文与结论,,
RV0007,stage3c_carryover,P1,,relation_endpoint_type_mismatch,,t01_r03,10,,关系候选待复核: 设计->INPUT_TO->测试,人工核对原文与结论,,
RV0008,stage3c_carryover,P3,,evidence_id_not_in_context,,t01_e10,8,,候选被拒绝，需人工确认,人工核对原文与结论,,
RV0009,stage3c_carryover,P3,,evidence_id_not_in_context,,t01_e11,8,,候选被拒绝，需人工确认,人工核对原文与结论,,
RV0010,stage3c_carryover,P3,,evidence_id_not_in_context,,t01_e12,8,,候选被拒绝，需人工确认,人工核对原文与结论,,
RV0011,stage3c_carryover,P3,,evidence_id_not_in_context,,t01_e13,8,,候选被拒绝，需人工确认,人工核对原文与结论,,
RV0012,stage3c_carryover,P3,,evidence_id_not_in_context,,t01_e14,8,,候选被拒绝，需人工确认,人工核对原文与结论,,
RV0013,stage3c_carryover,P3,,evidence_id_not_in_context,,t01_e15,8,,候选被拒绝，需人工确认,人工核对原文与结论,,
RV0014,stage3c_carryover,P3,,evidence_id_not_in_context,,t01_e16,8,,候选被拒绝，需人工确认,人工核对原文与结论,,
RV0015,stage3c_carryover,P3,,relation_type_invalid,,t01_r04,10,,候选被拒绝，需人工确认,重新判定关系类型,,
RV0016,stage3c_carryover,P3,,relation_type_invalid,,t01_r05,22,,候选被拒绝，需人工确认,重新判定关系类型,,
RV0017,stage3c_carryover,P3,,relation_type_invalid,,t01_r06,22,,候选被拒绝，需人工确认,重新判定关系类型,,
RV0018,stage3c_carryover,P3,,relation_type_invalid,,t01_r07,23,,候选被拒绝，需人工确认,重新判定关系类型,,
RV0019,stage3c_carryover,P3,,relation_type_invalid,,t01_r08,23,,候选被拒绝，需人工确认,重新判定关系类型,,
RV0020,stage3c_carryover,P3,,relation_type_invalid,,t01_r09,8,,候选被拒绝，需人工确认,重新判定关系类型,,
RV0021,stage3c_carryover,P3,,relation_type_invalid,,t01_r10,8,,候选被拒绝，需人工确认,重新判定关系类型,,
RV0022,stage3c_carryover,P3,,relation_type_invalid,,t01_r11,8,,候选被拒绝，需人工确认,重新判定关系类型,,
RV0023,stage3c_carryover,P3,,relation_type_invalid,,t01_r12,8,,候选被拒绝，需人工确认,重新判定关系类型,,
RV0024,stage3c_carryover,P3,,relation_type_invalid,,t01_r13,8,,候选被拒绝，需人工确认,重新判定关系类型,,
RV0025,stage3c_carryover,P3,,relation_type_invalid,,t01_r14,8,,候选被拒绝，需人工确认,重新判定关系类型,,
RV0026,stage3c_carryover,P3,,quote_not_found,,t02_e02,10,,候选被拒绝，需人工确认,人工核对 quote 与原文,,
RV0027,stage3c_carryover,P3,,quote_not_found,,t02_e03,22,,候选被拒绝，需人工确认,人工核对 quote 与原文,,
RV0028,stage3c_carryover,P3,,entity_type_invalid,,t03_r01,10,,候选被拒绝，需人工确认,重新判定实体类型,,
RV0029,stage3c_carryover,P3,,entity_type_invalid,,t03_r02,10,,候选被拒绝，需人工确认,重新判定实体类型,,
RV0030,stage3c_carryover,P3,,entity_type_invalid,,t03_r03,10,,候选被拒绝，需人工确认,重新判定实体类型,,
RV0031,stage3c_carryover,P3,,entity_type_invalid,,t03_r04,10,,候选被拒绝，需人工确认,重新判定实体类型,,
RV0032,stage3c_carryover,P3,,entity_type_invalid,,t03_r05,10,,候选被拒绝，需人工确认,重新判定实体类型,,
RV0033,stage3c_carryover,P3,,entity_type_invalid,,t03_r06,10,,候选被拒绝，需人工确认,重新判定实体类型,,
RV0034,stage3c_carryover,P3,,entity_type_invalid,,t03_r07,10,,候选被拒绝，需人工确认,重新判定实体类型,,
RV0035,stage3c_carryover,P3,,entity_type_invalid,,t03_r08,10,,候选被拒绝，需人工确认,重新判定实体类型,,
RV0036,stage3c_carryover,P3,,entity_type_invalid,,t03_r09,10,,候选被拒绝，需人工确认,重新判定实体类型,,
RV0037,stage3c_carryover,P3,,entity_type_invalid,,t03_r10,10,,候选被拒绝，需人工确认,重新判定实体类型,,
RV0038,stage3c_carryover,P3,,entity_type_invalid,,t03_r11,10,,候选被拒绝，需人工确认,重新判定实体类型,,
RV0039,stage3c_carryover,P3,,relation_type_invalid,,t03_r12,22,,候选被拒绝，需人工确认,重新判定关系类型,,
RV0040,stage3c_carryover,P1,,non_atomic_relation_endpoint,,t04_r01,10,,关系候选待复核: 半导体设计制造->INPUT_TO->设备、原材料和EDA软件,人工核对原文与结论,,
RV0041,stage3c_carryover,P3,,quote_not_found,,t04_e15,16,,候选被拒绝，需人工确认,人工核对 quote 与原文,,
RV0042,stage3c_carryover,P3,,quote_not_found,,t04_e16,16,,候选被拒绝，需人工确认,人工核对 quote 与原文,,
RV0043,stage3c_carryover,P3,,subject_or_object_not_found,,t04_r02,10,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0044,stage3c_carryover,P3,,subject_or_object_not_found,,t04_r03,10,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0045,stage3c_carryover,P3,,subject_or_object_not_found,,t04_r04,10,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0046,stage3c_carryover,P3,,subject_or_object_not_found,,t04_r05,10,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0047,stage3c_carryover,P3,,subject_or_object_not_found,,t04_r06,10,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0048,stage3c_carryover,P3,,subject_or_object_not_found,,t04_r07,10,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0049,stage3c_carryover,P3,,subject_or_object_not_found,,t04_r08,10,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0050,stage3c_carryover,P3,,subject_or_object_not_found,,t04_r09,10,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0051,stage3c_carryover,P3,,subject_or_object_not_found,,t04_r10,10,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0052,stage3c_carryover,P3,,subject_or_object_not_found,,t04_r11,10,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0053,stage3c_carryover,P3,,subject_or_object_not_found,,t04_r12,16,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0054,stage3c_carryover,P3,,quote_not_found,,t04_r13,16,,候选被拒绝，需人工确认,人工核对 quote 与原文,,
RV0055,stage3c_carryover,P3,,quote_not_found,,t04_r14,16,,候选被拒绝，需人工确认,人工核对 quote 与原文,,
RV0056,stage3c_carryover,P1,,relation_endpoint_type_mismatch,,t05_r03,10,,关系候选待复核: 封装->OUTPUT_OF->芯片,人工核对原文与结论,,
RV0057,stage3c_carryover,P1,,relation_endpoint_type_mismatch,,t05_r04,10,,关系候选待复核: 测试->OUTPUT_OF->芯片,人工核对原文与结论,,
RV0058,stage3c_carryover,P1,,relation_endpoint_type_mismatch,,t05_r05,10,,关系候选待复核: 封测->OUTPUT_OF->芯片,人工核对原文与结论,,
