review_id,source_file,original_priority,review_type,subject,relation_type,object,entity_or_relation_id,issue_summary,auto_decision,enter_conservative_draft,manual_required,decision_reason,recommended_human_decision
RV0001,manual_review_sheet.csv,P0,stage3c_carryover,,relation_cue_missing,,t01_r02,关系候选待复核: 新型显示产业->SUPPLIES_TO->产业链协同,manual_required,false,true,P0 结构性问题需人工确认,关系候选待复核: 新型显示产业->SUPPLIES_TO->产业链协同
RV0002,manual_review_sheet.csv,P1,stage3c_carryover,,forecast_keyword_in_quote:鼓励,,t01_r04,关系候选待复核: 配套材料->INPUT_TO->面板制造企业,auto_reject_as_fact,false,false,P1 含 forecast/trend 关键词，不作为现实产业关系,
RV0003,manual_review_sheet.csv,P3,stage3c_carryover,,subject_or_object_not_found,,t01_e02,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0004,manual_review_sheet.csv,P3,stage3c_carryover,,subject_or_object_not_found,,t01_r01,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0005,manual_review_sheet.csv,P3,stage3c_carryover,,subject_or_object_not_found,,t01_r03,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0006,manual_review_sheet.csv,P0,stage3c_carryover,,relation_cue_missing,,t02_r03,关系候选待复核: 产业链->SUPPLIES_TO->创新链,manual_required,false,true,P0 结构性问题需人工确认,关系候选待复核: 产业链->SUPPLIES_TO->创新链
RV0007,manual_review_sheet.csv,P3,stage3c_carryover,,subject_or_object_not_found,,t02_e01,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0008,manual_review_sheet.csv,P3,stage3c_carryover,,quote_not_found,,t02_e03,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0009,manual_review_sheet.csv,P3,stage3c_carryover,,subject_or_object_not_found,,t02_r01,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0010,manual_review_sheet.csv,P3,stage3c_carryover,,quote_not_found,,t02_r02,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0011,manual_review_sheet.csv,P3,stage3c_carryover,,subject_or_object_not_found,,t02_r04,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0012,manual_review_sheet.csv,P3,stage3c_carryover,,subject_or_object_not_found,,t02_r05,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0013,manual_review_sheet.csv,P1,stage3c_carryover,,relation_cue_missing,,t03_r01,关系候选待复核: 关键原材料->INPUT_TO->显示面板企业,manual_required,false,true,P1 具体产业内容或结构关系，交由人工/本地LLM审核,关系候选待复核: 关键原材料->INPUT_TO->显示面板企业
RV0014,manual_review_sheet.csv,P3,stage3c_carryover,,subject_or_object_not_found,,t03_r02,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0015,manual_review_sheet.csv,P3,stage3c_carryover,,subject_or_object_not_found,,t03_r03,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0016,manual_review_sheet.csv,P3,stage3c_carryover,,subject_or_object_not_found,,t03_r04,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0017,manual_review_sheet.csv,P3,stage3c_carryover,,subject_or_object_not_found,,t03_r05,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0018,manual_review_sheet.csv,P3,stage3c_carryover,,subject_or_object_not_found,,t03_r06,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0019,manual_review_sheet.csv,P3,stage3c_carryover,,subject_or_object_not_found,,t03_r07,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0020,manual_review_sheet.csv,P3,stage3c_carryover,,subject_or_object_not_found,,t03_r08,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0021,manual_review_sheet.csv,P0,stage3c_carryover,,relation_endpoint_type_mismatch,,t04_r01,关系候选待复核: 产业链->INPUT_TO->上下游,manual_required,false,true,P0 结构性问题需人工确认,关系候选待复核: 产业链->INPUT_TO->上下游
RV0022,manual_review_sheet.csv,P1,stage3c_carryover,,relation_cue_missing,,t04_r02,关系候选待复核: 材料->INPUT_TO->工艺,manual_required,false,true,P1 具体产业内容或结构关系，交由人工/本地LLM审核,关系候选待复核: 材料->INPUT_TO->工艺
RV0023,manual_review_sheet.csv,P3,stage3c_carryover,,subject_or_object_not_found,,t04_r03,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0024,manual_review_sheet.csv,P3,stage3c_carryover,,subject_or_object_not_found,,t05_r01,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0025,manual_review_sheet.csv,P3,stage3c_carryover,,subject_or_object_not_found,,t05_r02,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
