review_item_id,task_id,item_type,candidate_id,issue_type,severity,reason,evidence_id,page_no,recommended_action
t01_rv01,t01,relation,t01_r10,non_atomic_relation_endpoint,medium,关系候选待复核: SoC芯片->组成->涵盖CPU/GPU/ASIC、SoC芯片、存储芯片、模拟芯片,中国半导体白皮书_1b73a8b1f91b_p008_paragraph_004,8,人工核对原文与结论
t01_rv02,t01,relation,t01_r11,non_atomic_relation_endpoint,medium,关系候选待复核: CPU/GPU/ASIC->组成->涵盖CPU/GPU/ASIC、SoC芯片、存储芯片、模拟芯片,中国半导体白皮书_1b73a8b1f91b_p008_paragraph_004,8,人工核对原文与结论
t01_rv03,t01,relation,t01_r12,non_atomic_relation_endpoint,medium,关系候选待复核: 云计算->组成->涵盖CPU/GPU/ASIC、SoC芯片、存储芯片、模拟芯片,中国半导体白皮书_1b73a8b1f91b_p008_paragraph_004,8,人工核对原文与结论
t01_rv04,t01,entity,t01_e10,evidence_id_not_in_context,high,候选被拒绝，需人工确认,中国半导体白皮书_1b73a8b1f91b_p008_paragraph_004,8,人工核对原文与结论
t01_rv05,t01,entity,t01_e11,evidence_id_not_in_context,high,候选被拒绝，需人工确认,中国半导体白皮书_1b73a8b1f91b_p008_paragraph_004,8,人工核对原文与结论
t01_rv06,t01,entity,t01_e12,evidence_id_not_in_context,high,候选被拒绝，需人工确认,中国半导体白皮书_1b73a8b1f91b_p008_paragraph_004,8,人工核对原文与结论
t01_rv07,t01,entity,t01_e13,evidence_id_not_in_context,high,候选被拒绝，需人工确认,中国半导体白皮书_1b73a8b1f91b_p008_paragraph_004,8,人工核对原文与结论
t01_rv08,t01,entity,t01_e14,evidence_id_not_in_context,high,候选被拒绝，需人工确认,中国半导体白皮书_1b73a8b1f91b_p008_paragraph_004,8,人工核对原文与结论
t01_rv09,t01,entity,t01_e15,evidence_id_not_in_context,high,候选被拒绝，需人工确认,中国半导体白皮书_1b73a8b1f91b_p008_paragraph_004,8,人工核对原文与结论
t01_rv10,t01,entity,t01_e16,evidence_id_not_in_context,high,候选被拒绝，需人工确认,中国半导体白皮书_1b73a8b1f91b_p008_paragraph_004,8,人工核对原文与结论
t01_rv11,t01,entity,t01_e17,evidence_id_not_in_context,high,候选被拒绝，需人工确认,中国半导体白皮书_1b73a8b1f91b_p008_paragraph_004,8,人工核对原文与结论
t01_rv12,t01,entity,t01_e18,evidence_id_not_in_context,high,候选被拒绝，需人工确认,中国半导体白皮书_1b73a8b1f91b_p008_paragraph_004,8,人工核对原文与结论
t01_rv13,t01,relation,t01_r01,relation_type_invalid,high,候选被拒绝，需人工确认,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_009,10,重新判定关系类型
t01_rv14,t01,relation,t01_r02,relation_type_invalid,high,候选被拒绝，需人工确认,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_009,10,重新判定关系类型
t01_rv15,t01,relation,t01_r03,relation_type_invalid,high,候选被拒绝，需人工确认,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_009,10,重新判定关系类型
t01_rv16,t01,relation,t01_r04,relation_type_invalid,high,候选被拒绝，需人工确认,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_009,10,重新判定关系类型
t01_rv17,t01,relation,t01_r05,relation_type_invalid,high,候选被拒绝，需人工确认,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_006,10,重新判定关系类型
t01_rv18,t01,relation,t01_r06,relation_type_invalid,high,候选被拒绝，需人工确认,中国半导体白皮书_1b73a8b1f91b_p022_paragraph_004,22,重新判定关系类型
t01_rv19,t01,relation,t01_r07,relation_type_invalid,high,候选被拒绝，需人工确认,中国半导体白皮书_1b73a8b1f91b_p022_paragraph_004,22,重新判定关系类型
t01_rv20,t01,relation,t01_r08,relation_type_invalid,high,候选被拒绝，需人工确认,中国半导体白皮书_1b73a8b1f91b_p023_paragraph_002,23,重新判定关系类型
t01_rv21,t01,relation,t01_r09,relation_type_invalid,high,候选被拒绝，需人工确认,中国半导体白皮书_1b73a8b1f91b_p023_paragraph_002,23,重新判定关系类型
t03_rv01,t03,relation,t03_r01,non_atomic_relation_endpoint,medium,关系候选待复核: 设备->INPUT_TO->制造集成电路（IC）、光电子器件、分立器件、传感器、芯片,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_003,10,人工核对原文与结论
t03_rv02,t03,relation,t03_r02,non_atomic_relation_endpoint,medium,关系候选待复核: 原材料->INPUT_TO->制造集成电路（IC）、光电子器件、分立器件、传感器、芯片,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_003,10,人工核对原文与结论
t03_rv03,t03,relation,t03_r03,non_atomic_relation_endpoint,medium,关系候选待复核: EDA软件->INPUT_TO->制造集成电路（IC）、光电子器件、分立器件、传感器、芯片,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_003,10,人工核对原文与结论
t03_rv04,t03,relation,t03_r04,non_atomic_relation_endpoint,medium,关系候选待复核: 硅片->INPUT_TO->制造集成电路（IC）、光电子器件、分立器件、传感器、芯片,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_005,10,人工核对原文与结论
t03_rv05,t03,relation,t03_r05,non_atomic_relation_endpoint,medium,关系候选待复核: 金属->INPUT_TO->制造集成电路（IC）、光电子器件、分立器件、传感器、芯片,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_005,10,人工核对原文与结论
t03_rv06,t03,relation,t03_r06,non_atomic_relation_endpoint,medium,关系候选待复核: 化学品->INPUT_TO->制造集成电路（IC）、光电子器件、分立器件、传感器、芯片,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_005,10,人工核对原文与结论
t03_rv07,t03,relation,t03_r07,non_atomic_relation_endpoint,medium,关系候选待复核: 气体->INPUT_TO->制造集成电路（IC）、光电子器件、分立器件、传感器、芯片,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_005,10,人工核对原文与结论
t03_rv08,t03,relation,t03_r08,non_atomic_relation_endpoint,medium,关系候选待复核: 封装材料->INPUT_TO->制造集成电路（IC）、光电子器件、分立器件、传感器、芯片,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_005,10,人工核对原文与结论
t03_rv09,t03,relation,t03_r09,non_atomic_relation_endpoint,medium,关系候选待复核: 基材->INPUT_TO->制造集成电路（IC）、光电子器件、分立器件、传感器、芯片,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_005,10,人工核对原文与结论
t03_rv10,t03,relation,t03_r10,non_atomic_relation_endpoint,medium,关系候选待复核: 光刻机->INPUT_TO->制造集成电路（IC）、光电子器件、分立器件、传感器、芯片,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_004,10,人工核对原文与结论
t03_rv11,t03,relation,t03_r11,non_atomic_relation_endpoint,medium,关系候选待复核: 晶圆缺陷监测系统->INPUT_TO->制造集成电路（IC）、光电子器件、分立器件、传感器、芯片,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_004,10,人工核对原文与结论
t04_rv01,t04,relation,t04_r01,relation_endpoint_type_mismatch,medium,关系候选待复核: 设计->INPUT_TO->代工,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_009,10,人工核对原文与结论
t04_rv02,t04,relation,t04_r02,relation_endpoint_type_mismatch,medium,关系候选待复核: 代工->INPUT_TO->封装,中国半导体白皮书_1b73a8b1f91b_p023_paragraph_002,23,人工核对原文与结论
