recheck_id,source_candidate_id,candidate_type,original_reject_reason,surface_form_or_relation,evidence_id,page_no,quote,possible_recovery_reason,recommended_action,review_required
RC0001,t01_e05,entity,quote_not_found,面板制造企业,新型显示白皮书_7f4f945d7c21_p033_paragraph_003,33,鼓励面板制造企业积极采用就近配套材料。,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0002,t01_r03,relation,subject_or_object_not_found,显示材料 -> INPUT_TO -> 产业链,新型显示白皮书_7f4f945d7c21_p033_paragraph_003,33,支持有条件、有基础的企业通过兼并重组、股权投资等方式开展产业链上下游垂直整合和跨领域价值链横向拓展。,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0003,t01_r05,relation,subject_or_object_not_found,显示器件 -> SUPPLIES_TO -> 产业链,新型显示白皮书_7f4f945d7c21_p016_paragraph_002,16,引导行业以新型显示器件为核心，带动配套材料的发展。,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0004,t02_e01,entity,subject_or_object_not_found,新型显示产业,新型显示白皮书_7f4f945d7c21_p030_heading_001,30,4.安全可靠的供应链是显示产业持续发展的保障,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0005,t02_r01,relation,subject_or_object_not_found,新型显示产业 -> SUPPLIES_TO -> 供应链,新型显示白皮书_7f4f945d7c21_p030_heading_001,30,4.安全可靠的供应链是显示产业持续发展的保障,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0006,t02_r02,relation,subject_or_object_not_found,产业链 -> SUPPLIES_TO -> 产业集群,新型显示白皮书_7f4f945d7c21_p033_paragraph_003,33,形成具备较强竞争力的区域产业集群,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0007,t03_e09,entity,subject_or_object_not_found,显示面板,新型显示白皮书_7f4f945d7c21_p032_paragraph_004,32,玻璃基板、液晶材料等产品已具备一定产能规模，但产品竞争力不足，市场份额不高，产能利用率仅50%左右。,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0008,t03_e11,entity,quote_not_found,显示面板企业,新型显示白皮书_7f4f945d7c21_p032_paragraph_004,32,显示面板企业往往加速产能扩充，以占领市场。,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0009,t03_e12,entity,quote_not_found,显示材料产业,新型显示白皮书_7f4f945d7c21_p029_paragraph_004,29,显示材料产业已具备一定产能规模，但产品竞争力不足，市场份额不高，产能利用率仅50%左右。,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0010,t03_r02,relation,subject_or_object_not_found,显示材料 -> INPUT_TO -> 显示面板,新型显示白皮书_7f4f945d7c21_p032_paragraph_004,32,玻璃基板、液晶材料等产品已具备一定产能规模，但产品竞争力不足，市场份额不高，产能利用率仅50%左右。,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
