review_id,source_file,original_priority,review_type,subject,relation_type,object,entity_or_relation_id,issue_summary,auto_decision,enter_conservative_draft,manual_required,decision_reason,recommended_human_decision
RV0001,manual_review_sheet.csv,P0,stage3c_carryover,,relation_endpoint_type_mismatch,,t01_r01,关系候选待复核: 产业链->INPUT_TO->产业链上下游,manual_required,false,true,P0 结构性问题需人工确认,关系候选待复核: 产业链->INPUT_TO->产业链上下游
RV0002,manual_review_sheet.csv,P0,stage3c_carryover,,relation_cue_missing,,t01_r02,关系候选待复核: 新型显示产业->SUPPLIES_TO->产业链,manual_required,false,true,P0 结构性问题需人工确认,关系候选待复核: 新型显示产业->SUPPLIES_TO->产业链
RV0003,manual_review_sheet.csv,P1,stage3c_carryover,,relation_endpoint_type_mismatch,,t01_r04,关系候选待复核: 面板制造企业->USES_TECHNOLOGY->配套材料,manual_required,false,true,P1 具体产业内容或结构关系，交由人工/本地LLM审核,关系候选待复核: 面板制造企业->USES_TECHNOLOGY->配套材料
RV0004,manual_review_sheet.csv,P3,stage3c_carryover,,quote_not_found,,t01_e05,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0005,manual_review_sheet.csv,P3,stage3c_carryover,,subject_or_object_not_found,,t01_r03,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0006,manual_review_sheet.csv,P3,stage3c_carryover,,subject_or_object_not_found,,t01_r05,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0007,manual_review_sheet.csv,P1,stage3c_carryover,,relation_cue_missing,,t02_r03,关系候选待复核: 显示材料产业->SUPPLIES_TO->产业集群,manual_required,false,true,P1 具体产业内容或结构关系，交由人工/本地LLM审核,关系候选待复核: 显示材料产业->SUPPLIES_TO->产业集群
RV0008,manual_review_sheet.csv,P3,stage3c_carryover,,subject_or_object_not_found,,t02_e01,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0009,manual_review_sheet.csv,P3,stage3c_carryover,,subject_or_object_not_found,,t02_r01,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0010,manual_review_sheet.csv,P3,stage3c_carryover,,subject_or_object_not_found,,t02_r02,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0011,manual_review_sheet.csv,P1,stage3c_carryover,,relation_cue_missing,,t03_r01,关系候选待复核: 关键原材料->INPUT_TO->显示面板,manual_required,false,true,P1 具体产业内容或结构关系，交由人工/本地LLM审核,关系候选待复核: 关键原材料->INPUT_TO->显示面板
RV0012,manual_review_sheet.csv,P3,stage3c_carryover,,subject_or_object_not_found,,t03_e09,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0013,manual_review_sheet.csv,P3,stage3c_carryover,,quote_not_found,,t03_e11,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0014,manual_review_sheet.csv,P3,stage3c_carryover,,quote_not_found,,t03_e12,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0015,manual_review_sheet.csv,P3,stage3c_carryover,,subject_or_object_not_found,,t03_r02,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0016,manual_review_sheet.csv,P3,stage3c_carryover,,subject_or_object_not_found,,t03_r03,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0017,manual_review_sheet.csv,P3,stage3c_carryover,,subject_or_object_not_found,,t03_r04,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0018,manual_review_sheet.csv,P3,stage3c_carryover,,subject_or_object_not_found,,t03_r05,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0019,manual_review_sheet.csv,P3,stage3c_carryover,,subject_or_object_not_found,,t03_r06,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0020,manual_review_sheet.csv,P3,stage3c_carryover,,subject_or_object_not_found,,t03_r07,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0021,manual_review_sheet.csv,P3,stage3c_carryover,,subject_or_object_not_found,,t03_r08,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0022,manual_review_sheet.csv,P3,stage3c_carryover,,relation_type_invalid,,t03_r09,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 默认归档，保守策略不进入保守草案,
RV0023,manual_review_sheet.csv,P0,stage3c_carryover,,relation_endpoint_type_mismatch,,t04_r01,关系候选待复核: 产业链->INPUT_TO->上下游,manual_required,false,true,P0 结构性问题需人工确认,关系候选待复核: 产业链->INPUT_TO->上下游
RV0024,manual_review_sheet.csv,P3,stage3c_carryover,,subject_or_object_not_found,,t04_e03,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0025,manual_review_sheet.csv,P3,stage3c_carryover,,quote_not_found,,t04_e08,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0026,manual_review_sheet.csv,P3,stage3c_carryover,,quote_not_found,,t04_e09,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0027,manual_review_sheet.csv,P3,stage3c_carryover,,quote_not_found,,t04_e10,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0028,manual_review_sheet.csv,P3,stage3c_carryover,,quote_not_found,,t04_e11,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0029,manual_review_sheet.csv,P3,stage3c_carryover,,quote_not_found,,t04_e13,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0030,manual_review_sheet.csv,P3,stage3c_carryover,,subject_or_object_not_found,,t04_r02,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0031,manual_review_sheet.csv,P3,stage3c_carryover,,subject_or_object_not_found,,t04_r03,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0032,manual_review_sheet.csv,P3,stage3c_carryover,,subject_or_object_not_found,,t04_r04,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0033,manual_review_sheet.csv,P3,stage3c_carryover,,subject_or_object_not_found,,t04_r05,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0034,manual_review_sheet.csv,P3,stage3c_carryover,,subject_or_object_not_found,,t04_r06,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0035,manual_review_sheet.csv,P3,stage3c_carryover,,quote_not_found,,t04_r07,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0036,manual_review_sheet.csv,P3,stage3c_carryover,,quote_not_found,,t04_r08,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0037,manual_review_sheet.csv,P3,stage3c_carryover,,quote_not_found,,t04_r09,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0038,manual_review_sheet.csv,P3,stage3c_carryover,,quote_not_found,,t04_r10,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0039,manual_review_sheet.csv,P3,stage3c_carryover,,quote_not_found,,t04_r11,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0040,manual_review_sheet.csv,P1,stage3c_carryover,,relation_cue_missing,,t05_r01,关系候选待复核: 玻璃基板->OUTPUT_OF->高世代玻璃基板,manual_required,false,true,P1 具体产业内容或结构关系，交由人工/本地LLM审核,关系候选待复核: 玻璃基板->OUTPUT_OF->高世代玻璃基板
RV0041,manual_review_sheet.csv,P1,stage3c_carryover,,relation_cue_missing,,t05_r03,关系候选待复核: 液晶材料->OUTPUT_OF->产品种类,manual_required,false,true,P1 具体产业内容或结构关系，交由人工/本地LLM审核,关系候选待复核: 液晶材料->OUTPUT_OF->产品种类
RV0042,manual_review_sheet.csv,P1,stage3c_carryover,,relation_cue_missing,,t05_r04,关系候选待复核: 有机发光材料->OUTPUT_OF->产品种类,manual_required,false,true,P1 具体产业内容或结构关系，交由人工/本地LLM审核,关系候选待复核: 有机发光材料->OUTPUT_OF->产品种类
RV0043,manual_review_sheet.csv,P1,stage3c_carryover,,relation_cue_missing,,t05_r05,关系候选待复核: 掩模版->OUTPUT_OF->产品种类,manual_required,false,true,P1 具体产业内容或结构关系，交由人工/本地LLM审核,关系候选待复核: 掩模版->OUTPUT_OF->产品种类
RV0044,manual_review_sheet.csv,P3,stage3c_carryover,,quote_not_found,,t05_e02,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0045,manual_review_sheet.csv,P3,stage3c_carryover,,quote_not_found,,t05_r02,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0046,manual_review_sheet.csv,P3,stage3c_carryover,,subject_or_object_not_found,,t07_e07,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0047,manual_review_sheet.csv,P3,stage3c_carryover,,evidence_id_not_in_context,,t07_e08,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 默认归档，保守策略不进入保守草案,
RV0048,manual_review_sheet.csv,P3,stage3c_carryover,,evidence_id_not_in_context,,t07_e09,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 默认归档，保守策略不进入保守草案,
RV0049,manual_review_sheet.csv,P3,stage3c_carryover,,subject_or_object_not_found,,t07_r01,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0050,manual_review_sheet.csv,P3,stage3c_carryover,,subject_or_object_not_found,,t07_r02,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0051,manual_review_sheet.csv,P3,stage3c_carryover,,subject_or_object_not_found,,t07_r03,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0052,manual_review_sheet.csv,P3,stage3c_carryover,,subject_or_object_not_found,,t07_r04,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0053,manual_review_sheet.csv,P3,stage3c_carryover,,subject_or_object_not_found,,t07_r05,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0054,manual_review_sheet.csv,P3,stage3c_carryover,,subject_or_object_not_found,,t07_r06,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0055,manual_review_sheet.csv,P3,stage3c_carryover,,subject_or_object_not_found,,t07_r07,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0056,manual_review_sheet.csv,P3,stage3c_carryover,,subject_or_object_not_found,,t07_r08,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0057,manual_review_sheet.csv,P3,stage3c_carryover,,quote_not_found,,t09_e08,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0058,manual_review_sheet.csv,P3,stage3c_carryover,,quote_not_found,,t09_e09,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0059,manual_review_sheet.csv,P3,stage3c_carryover,,subject_or_object_not_found,,t09_r01,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0060,manual_review_sheet.csv,P3,stage3c_carryover,,quote_not_found,,t09_r02,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0061,manual_review_sheet.csv,P3,stage3c_carryover,,subject_or_object_not_found,,t09_r03,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0062,manual_review_sheet.csv,P3,stage3c_carryover,,subject_or_object_not_found,,t09_r04,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0063,manual_review_sheet.csv,P3,stage3c_carryover,,subject_or_object_not_found,,t09_r05,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0064,manual_review_sheet.csv,P3,stage3c_carryover,,subject_or_object_not_found,,t09_r06,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0065,manual_review_sheet.csv,P3,stage3c_carryover,,subject_or_object_not_found,,t09_r07,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0066,manual_review_sheet.csv,P3,stage3c_carryover,,relation_type_invalid,,t09_r08,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 默认归档，保守策略不进入保守草案,
RV0067,manual_review_sheet.csv,P3,stage3c_carryover,,relation_type_invalid,,t09_r09,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 默认归档，保守策略不进入保守草案,
RV0068,manual_review_sheet.csv,P3,stage3c_carryover,,subject_or_object_not_found,,t10_r01,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0069,manual_review_sheet.csv,P3,stage3c_carryover,,subject_or_object_not_found,,t10_r02,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0070,manual_review_sheet.csv,P3,stage3c_carryover,,subject_or_object_not_found,,t10_r03,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
RV0071,manual_review_sheet.csv,P3,stage3c_carryover,,subject_or_object_not_found,,t10_r04,候选被拒绝，需人工确认,auto_archive_rejected,false,false,P3 + quote/subject异常，保守策略默认归档,
