review_id,review_type,priority,subject,relation_type,object,entity_or_relation_id,evidence_pages,evidence_quotes,issue_summary,recommended_decision,human_decision,human_comment
RV0001,stage3c_carryover,P0,,relation_cue_missing,,t01_r02,33,,关系候选待复核: 新型显示产业->SUPPLIES_TO->产业链协同,人工核对原文与结论,,
RV0002,stage3c_carryover,P1,,forecast_keyword_in_quote:鼓励,,t01_r04,16,,关系候选待复核: 配套材料->INPUT_TO->面板制造企业,预测/规划/趋势类，不得作为现实关系，人工确认,,
RV0003,stage3c_carryover,P3,,subject_or_object_not_found,,t01_e02,11,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0004,stage3c_carryover,P3,,subject_or_object_not_found,,t01_r01,11,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0005,stage3c_carryover,P3,,subject_or_object_not_found,,t01_r03,16,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0006,stage3c_carryover,P0,,relation_cue_missing,,t02_r03,,,关系候选待复核: 产业链->SUPPLIES_TO->创新链,人工核对原文与结论,,
RV0007,stage3c_carryover,P3,,subject_or_object_not_found,,t02_e01,30,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0008,stage3c_carryover,P3,,quote_not_found,,t02_e03,11,,候选被拒绝，需人工确认,人工核对 quote 与原文,,
RV0009,stage3c_carryover,P3,,subject_or_object_not_found,,t02_r01,30,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0010,stage3c_carryover,P3,,quote_not_found,,t02_r02,11,,候选被拒绝，需人工确认,人工核对 quote 与原文,,
RV0011,stage3c_carryover,P3,,subject_or_object_not_found,,t02_r04,33,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0012,stage3c_carryover,P3,,subject_or_object_not_found,,t02_r05,33,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0013,stage3c_carryover,P1,,relation_cue_missing,,t03_r01,18,,关系候选待复核: 关键原材料->INPUT_TO->显示面板企业,人工核对原文与结论,,
RV0014,stage3c_carryover,P3,,subject_or_object_not_found,,t03_r02,30,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0015,stage3c_carryover,P3,,subject_or_object_not_found,,t03_r03,32,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0016,stage3c_carryover,P3,,subject_or_object_not_found,,t03_r04,,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0017,stage3c_carryover,P3,,subject_or_object_not_found,,t03_r05,32,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0018,stage3c_carryover,P3,,subject_or_object_not_found,,t03_r06,32,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0019,stage3c_carryover,P3,,subject_or_object_not_found,,t03_r07,29,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0020,stage3c_carryover,P3,,subject_or_object_not_found,,t03_r08,32,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0021,stage3c_carryover,P0,,relation_endpoint_type_mismatch,,t04_r01,11,,关系候选待复核: 产业链->INPUT_TO->上下游,人工核对原文与结论,,
RV0022,stage3c_carryover,P1,,relation_cue_missing,,t04_r02,30,,关系候选待复核: 材料->INPUT_TO->工艺,人工核对原文与结论,,
RV0023,stage3c_carryover,P3,,subject_or_object_not_found,,t04_r03,30,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0024,stage3c_carryover,P3,,subject_or_object_not_found,,t05_r01,32,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0025,stage3c_carryover,P3,,subject_or_object_not_found,,t05_r02,17,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0026,stage3c_carryover,P3,,subject_or_object_not_found,,t05_r03,32,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0027,stage3c_carryover,P3,,subject_or_object_not_found,,t05_r04,32,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0028,stage3c_carryover,P3,,subject_or_object_not_found,,t05_r05,32,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0029,stage3c_carryover,P3,,subject_or_object_not_found,,t07_e07,35,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0030,stage3c_carryover,P3,,quote_not_found,,t07_e11,30,,候选被拒绝，需人工确认,人工核对 quote 与原文,,
RV0031,stage3c_carryover,P3,,quote_not_found,,t07_e12,16,,候选被拒绝，需人工确认,人工核对 quote 与原文,,
RV0032,stage3c_carryover,P3,,subject_or_object_not_found,,t07_r01,30,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0033,stage3c_carryover,P3,,subject_or_object_not_found,,t07_r02,30,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0034,stage3c_carryover,P3,,subject_or_object_not_found,,t07_r03,30,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0035,stage3c_carryover,P3,,subject_or_object_not_found,,t07_r04,30,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0036,stage3c_carryover,P3,,subject_or_object_not_found,,t07_r05,30,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0037,stage3c_carryover,P3,,subject_or_object_not_found,,t07_r06,35,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0038,stage3c_carryover,P3,,quote_not_found,,t07_r07,30,,候选被拒绝，需人工确认,人工核对 quote 与原文,,
RV0039,stage3c_carryover,P3,,quote_not_found,,t07_r08,16,,候选被拒绝，需人工确认,人工核对 quote 与原文,,
RV0040,stage3c_carryover,P3,,quote_not_found,,t09_e08,29,,候选被拒绝，需人工确认,人工核对 quote 与原文,,
RV0041,stage3c_carryover,P3,,subject_or_object_not_found,,t09_r01,16,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0042,stage3c_carryover,P3,,subject_or_object_not_found,,t09_r02,29,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0043,stage3c_carryover,P3,,subject_or_object_not_found,,t09_r03,32,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0044,stage3c_carryover,P3,,subject_or_object_not_found,,t09_r04,32,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0045,stage3c_carryover,P3,,subject_or_object_not_found,,t09_r05,32,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0046,stage3c_carryover,P3,,subject_or_object_not_found,,t09_r06,16,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0047,stage3c_carryover,P0,,relation_endpoint_type_mismatch,,t10_r03,30,,关系候选待复核: 供应链->OUTPUT_OF->显示产业,人工核对原文与结论,,
RV0048,stage3c_carryover,P0,,relation_endpoint_type_mismatch,,t10_r05,11,,关系候选待复核: 创新链->INPUT_TO->产业链,人工核对原文与结论,,
RV0049,stage3c_carryover,P3,,subject_or_object_not_found,,t10_r01,3,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0050,stage3c_carryover,P3,,subject_or_object_not_found,,t10_r02,11,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0051,stage3c_carryover,P3,,subject_or_object_not_found,,t10_r04,33,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0052,stage3c_carryover,P3,,subject_or_object_not_found,,t10_r06,16,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
